Speaker: Christine Lagarde
[67 12 71]
[51  7 54]
[154  29 155]
[67 11 50]
[41 10 60]
[57 12 56]
[142  21 109]
[25  8 38]
[29  6 30]
[44  8 74]
[17  5 27]
[92 11 54]
[28 16 67]
[182  17 134]
[207  23 125]
[358  38 165]
[91 10 63]
[75 24 87]
[34  5 29]
[15  5 25]
[35  7 51]
[ 90  31 103]
[85 13 57]
[104  14 100]
[162  13  93]
[38 17 89]
[ 92  32 124]
[38  9 51]
[65  4 36]
[53  2 61]
[81 17 61]
[82 11 66]
[48 17 64]
[121  32 122]
[38  2 45]
[105  29 131]
[32 10 67]
[27  9 47]
[135  22 116]
[115  20 102]
[34  2 38]
[53 18 78]
[134  22  95]
[253  26 131]
[35 11 71]
[ 68  18 100]
[136  25 121]
[12  6 20]
[61 17 80]
[36  2 25]
[49 16 67]
[93 12 79]
[27  3 24]
[57 19 59]
[230  24 126]
[146  20 118]
[109  26 115]
[78 12 84]
[47  5 48]
[151  24 102]
[245  21 134]
[36  9 72]
[91  9 50]
[70  5 64]
[271  38 156]
[55 11 70]
[37  6 41]
[30  5 36]
[88 17 85]
[77 14 72]
[110   2  78]
[51  7 71]
[41  9 58]
[75 16 64]
[44  4 44]
[58  6 55]
[172  12 106]
[219  10  92]
[50 10 52]
[113  26 122]
[64 18 55]
[40 13 71]
[252  21 160]
[65 10 69]
[68 12 70]
[90 14 85]
[85 12 72]
[83 11 65]
[52  8 64]
[28  8 39]
[29 13 45]
[71 12 54]
[39  4 43]
[68  7 58]
[77 21 81]
[46  3 27]
[82 12 61]
[68 11 73]
[37  1 28]
[82 17 91]
[48  7 47]
Speaker: Isabel Schnabel
[529  32 251]
[161  37 140]
[543  62 306]
[124  24  66]
[192  51 174]
[238  55 202]
[285  65 251]
[205  35 177]
[373  40 196]
[187  20 148]
[245  45 201]
[149  41 163]
[215  14  83]
[358  45 205]
[193  37 141]
[197  37 166]
[115  33 154]
[144  31 152]
[114  31 135]
[189  40 148]
[192  42 160]
[136  35 148]
[346  37 234]
[216  42 156]
[170  14 136]
[159  27 113]
[59 15 77]
[101  30 145]
[345  24 162]
[157  31 171]
[171  55 183]
[268  23 160]
[161  21 126]
[218  19 152]
[179  13  88]
[280  37 168]
[190  42 134]
[252  25 152]
[49  7 53]
[332  35 168]
[201  34 156]
[185  34 158]
[269  24 127]
[64  4 63]
[202  24 126]
[236  12 142]
[199  30 133]
[175  27 158]
[140  31 130]
[130  23 122]
[71 25 93]
[107  37 123]
[ 99  23 109]
[295  58 221]
[156  23 156]
Speaker: Piero Cipollone
[125  13 107]
[260  18 151]
[157   7 116]
[86 16 76]
Speaker: Luis de Guindos
[54 17 91]
[26 13 47]
[23 11 60]
[18  7 36]
[35  7 46]
[74 14 76]
[147  16 101]
[187   8  65]
[18  5 32]
[94  5 62]
[19 10 51]
[55 13 50]
[123  12  85]
[33  9 58]
[36  9 58]
[34 13 68]
[35 11 65]
[34 10 48]
[23 12 68]
[27  6 38]
[25 12 54]
[52 13 63]
[49 13 59]
[81 11 84]
[60  9 64]
[122  11  68]
[41 16 73]
[64 15 79]
[103  18  76]
[32 12 53]
[27  9 38]
[49 11 58]
[19 10 69]
[47 10 64]
[75  2 39]
[42  8 50]
[44 13 82]
[43 26 89]
[47 12 61]
[17  7 28]
[60 12 69]
[54 14 74]
[90 10 85]
[142  13  59]
[76 13 67]
[39  6 35]
[90 11 62]
[41 13 59]
[79 14 59]
[11  0  8]
[87 14 67]
[96 16 81]
[20  9 43]
[116  28  76]
[27  3 38]
[201  13  81]
[93 23 63]
[90 10 67]
[135  23 112]
[100  13  86]
[65 16 75]
[55  5 58]
[74 12 64]
[113  10  78]
[145  13  92]
[64 12 74]
[208  20 125]
[60 18 71]
[48  8 50]
[49 13 70]
[85  9 64]
[42  8 37]
[94  9 92]
[170  16  86]
[67  3 49]
[152  29 131]
[87  8 79]
[ 79  17 115]
[174  14 135]
[62 13 79]
[106  10 113]
[ 94  21 101]
[43  6 49]
Speaker: Philip R. Lane
[368  25 169]
[182  47 160]
[275  27 195]
[ 78  28 116]
[467  45 303]
[169  39 179]
[271  52 224]
[647  55 412]
[604  52 397]
[34 16 60]
[ 79  27 107]
[101  33 130]
[174  17 136]
[330  51 317]
[ 62  25 107]
[72 23 87]
[46  9 66]
[44 16 73]
[61  4 47]
[23  3 26]
[235  13 127]
[17  7 35]
[127  20 141]
[43  2 29]
[284  32 189]
[ 78  28 119]
[76 12 83]
[146  24 145]
[355  35 150]
[44  9 74]
[36  3 40]
[322  32 196]
[306  16 148]
[127  20 112]
[320  17 138]
[512  32 224]
[469  37 212]
[268  22 165]
[565  53 296]
[185  44 197]
[135  11  61]
[211  27 157]
Speaker: Frank Elderson
[72 19 95]
[129  13 112]
[100  14  80]
[234  36 120]
[144  37 143]
[79 11 72]
[79 10 81]
[69 12 87]
[97 12 77]
[64 13 73]
[42  1 30]
[59  6 38]
[21  0 32]
[73  6 74]
[94 16 77]
[ 75  11 102]
[78  6 77]
[29  4 28]
[16  5 18]
[56 10 74]
[85 12 94]
[16  4 13]
[36  2 31]
[60  5 60]
[104  23 111]
[84 24 96]
[54 18 64]
[125  14 106]
[77 21 92]
[40  8 46]
Speaker: Fabio Panetta
[362  42 213]
[212   8 135]
[ 99  35 145]
[246  45 181]
[53 18 73]
[112   4  94]
[166  21 130]
[178  31 175]
[60 20 78]
[129  36 167]
[124   9 116]
[190  43 179]
[259  34 210]
[230  25 170]
[290  14 154]
[199  37 189]
[86 11 86]
[79  9 77]
[171  22 161]
[159  19 126]
[140  10 108]
[60  8 56]
[34  8 36]
[204  29 171]
[95 13 88]
[253  54 208]
[320  21 163]
[287  37 230]
[126  10 108]
[38  7 52]
[177  38 186]
[254  26 152]
[350  44 242]
[224  44 183]
[115   7 103]
[127  12 116]
[201  11 116]
[325  27 190]
[21 11 35]
[207  23 129]
[117  11  78]
[46  6 29]
[330  43 162]
[62  5 70]
[56  8 50]
[117  29 132]
[215  17 150]
[137  22 101]
[37  2 40]
[112  12  87]
[135  22 135]
[ 94  20 100]
[114  24 106]
[147   9  87]
[56 13 90]
[31 17 56]
[73 13 63]
[58  4 61]
[209  43 153]
[40 10 40]
[116  19 141]
[116  15  74]
Speaker: Yves Mersch
[84 22 94]
[53  9 74]
[35 11 52]
[42  8 53]
[23  6 29]
