dates,sizes,emo_dict_score,emo_bigbert_score,emo_bert_score,emo_cumu_score
2024-02-16,647,[0.90211323 0.05457018 0.42803482],[-0.2293715  -0.40819361  0.88361003],[-0.18730262 -0.51392506  0.83713724],[ 0.44378158 -0.23327164  0.86524115]
2023-11-02,258,[0.74350819 0.17086834 0.64652887],[-0.3789413  -0.21167937  0.90088586],[-0.39800779 -0.22312347  0.88983466],[ 0.22924352 -0.02566241  0.97303075]
2023-09-25,706,[0.86691122 0.09898434 0.4885356 ],[-0.28948143 -0.3340633   0.89699622],[-0.15244765 -0.48888959  0.85892181],[ 0.38005373 -0.15472467  0.91193171]
2023-09-05,160,[0.87013795 0.1684138  0.46313794],[-0.30425512 -0.31359645  0.89949213],[-0.25810946 -0.38303909  0.88693887],[ 0.38168627 -0.09792526  0.91908989]
2023-08-31,326,[0.72703806 0.19311948 0.65887824],[-0.38302133 -0.19973316  0.90188765],[-0.35045285 -0.24012162  0.90527587],[ 0.21524679 -0.00413809  0.97655092]
2023-06-19,379,[0.75084842 0.17351539 0.63727471],[-0.36918279 -0.2120052   0.9048524 ],[-0.6987715   0.61600034  0.36367839],[ 0.24017403 -0.02422081  0.97042763]
2023-05-19,426,[0.73969604 0.16870261 0.6514516 ],[-0.22537848 -0.42432684  0.8770127 ],[-0.06829814 -0.58989434  0.80458687],[ 0.31498917 -0.15655476  0.93609424]
2023-03-27,302,[0.75066399 0.12816214 0.64813427],[-0.23834158 -0.40117389  0.88445057],[-0.18258382 -0.46872639  0.86426773],[ 0.31261112 -0.16658749  0.93515929]
2023-03-02,472,[0.88126493 0.09450562 0.46307755],[-0.25756721 -0.38003231  0.88838875],[-0.22197486 -0.45993631  0.85975912],[ 0.41152387 -0.18839422  0.89171505]
2023-01-10,261,[0.78138783 0.08357089 0.61842459],[-0.14706992 -0.49303103  0.85749102],[-0.026521   -0.55023897  0.83458596],[ 0.38262333 -0.24698815  0.89027874]
2022-11-24,363,[0.76543441 0.14058999 0.62796864],[-0.26083409 -0.36393502  0.89415708],[-0.11583905 -0.52291179  0.84447887],[ 0.31166158 -0.13794692  0.94012643]
2022-09-30,267,[0.66336321 0.18253618 0.72569263],[-0.40359286 -0.1625513   0.90038318],[-0.23745654 -0.33610344  0.9113994 ],[0.15774098 0.01213547 0.98740595]
2022-09-12,258,[0.93118103 0.06063504 0.35947919],[-0.25473462 -0.36981419  0.89350307],[-0.23781032 -0.38828175  0.89032777],[ 0.46424206 -0.21218823  0.85991596]
2022-08-27,479,[0.86267815 0.1084372  0.49399168],[-0.28965159 -0.30909125  0.90585018],[-0.2872331  -0.2926942   0.91204564],[ 0.37554899 -0.13150425  0.91742552]
2022-06-14,281,[0.79796361 0.15297748 0.58296824],[-0.22930817 -0.41324651  0.88127469],[-0.44009897 -0.08874639  0.89355301],[ 0.35714967 -0.16346454  0.91963224]
2022-05-11,297,[0.75694246 0.14216686 0.63782968],[-0.17220349 -0.47637774  0.86221239],[-0.01298407 -0.65768497  0.75318119],[ 0.35561441 -0.20325344  0.91226445]
2022-04-02,217,[0.58970482 0.16921964 0.78969167],[-0.14602328 -0.49291124  0.85773872],[-0.53945757  0.03952256  0.84108472],[ 0.25549383 -0.18639767  0.94867213]
2022-03-17,238,[0.68032846 0.1464596  0.71812448],[-0.16929181 -0.4727298   0.86479294],[-0.18613309 -0.47127661  0.86212112],[ 0.30148536 -0.19248265  0.93383993]
2022-02-24,199,[0.6354748  0.17280455 0.75253595],[-0.07079565 -0.59260748  0.80237419],[-0.15653342 -0.45717605  0.87549263],[ 0.33085922 -0.24597273  0.9110596 ]
2022-01-08,279,[0.77662125 0.16436429 0.60814786],[-0.17355922 -0.46459767  0.86834682],[-0.21588973 -0.46833217  0.85677104],[ 0.37159136 -0.18499611  0.90977816]
2021-12-08,299,[0.75759837 0.16572464 0.63133197],[-0.2590772  -0.36891191  0.89262703],[-0.46302459  0.01127235  0.88627375],[ 0.30844338 -0.12571536  0.9428989 ]
2021-11-17,228,[0.66659459 0.17155008 0.72541176],[-0.23027886 -0.4116083   0.8817881 ],[-0.56073559  0.1923224   0.80534942],[ 0.25931281 -0.14267231  0.95519709]
2021-11-09,463,[0.82511793 0.08823515 0.55802774],[-0.31552311 -0.29222396  0.90280138],[-0.15342334 -0.47102024  0.86867785],[ 0.32654797 -0.13071587  0.93609817]
